URI	Field	Grouping	Parent	Description	Range	Deprecated	Exact	Close
	license							
	versionIRI							
	versionInfo							
	label							
	definition							
	broadMatch				Class			
	exactMatch				Class			
	narrowMatch				Class			
	closeMatch				Class			
	subClassOf				Class			
	label							
	definition							
	broadMatch				Property			
	exactMatch				Property			
	narrowMatch				Property			
	closeMatch				Property			
	subClassOf				Property			
	database_cross_reference			Uses to indicate the source of an axiom			dcterms:source	
	label							
